"ts","starttime","detectorid","volume","speed","occupancy","status","dqflags"
1316199080,"2011-09-16 11:51:20-07",1346,9,58,18,2,0
1316199100,"2011-09-16 11:51:40-07",1346,2,53,2,2,0
1316199120,"2011-09-16 11:52:00-07",1346,11,61,13,2,0
1316199140,"2011-09-16 11:52:20-07",1346,5,75,4,2,0
1316199160,"2011-09-16 11:52:40-07",1346,7,68,12,2,0
1316199180,"2011-09-16 11:53:00-07",1346,7,59,18,2,0
1316199200,"2011-09-16 11:53:20-07",1346,10,64,13,2,0
1316199220,"2011-09-16 11:53:40-07",1346,9,57,15,2,0
1316199240,"2011-09-16 11:54:00-07",1346,8,62,14,2,0
1316199260,"2011-09-16 11:54:20-07",1346,4,65,12,2,0
1316199280,"2011-09-16 11:54:40-07",1346,5,49,12,2,0
1316199300,"2011-09-16 11:55:00-07",1346,4,57,10,2,0
1316199320,"2011-09-16 11:55:20-07",1346,9,64,13,2,0
1316199340,"2011-09-16 11:55:40-07",1346,11,66,13,2,0
1316199360,"2011-09-16 11:56:00-07",1346,4,64,4,2,0
1316199380,"2011-09-16 11:56:20-07",1346,3,71,2,2,0
1316199400,"2011-09-16 11:56:40-07",1346,8,67,9,2,0
1316199420,"2011-09-16 11:57:00-07",1346,11,68,12,2,0
1316199440,"2011-09-16 11:57:20-07",1346,5,56,9,2,0
1316199460,"2011-09-16 11:57:40-07",1346,5,71,13,2,0
1316199480,"2011-09-16 11:58:00-07",1346,7,67,11,2,0
1316199500,"2011-09-16 11:58:20-07",1346,9,60,19,2,0
1316199520,"2011-09-16 11:58:40-07",1346,7,64,17,2,0
1316199540,"2011-09-16 11:59:00-07",1346,7,59,9,2,0
1316199560,"2011-09-16 11:59:20-07",1346,3,63,10,2,0
1316199580,"2011-09-16 11:59:40-07",1346,6,64,6,2,0
1316199600,"2011-09-16 12:00:00-07",1346,8,71,11,2,0
1316192400,"2011-09-16 10:00:00-07",1347,5,58,14,2,0
1316192420,"2011-09-16 10:00:20-07",1347,4,64,6,2,0
1316192440,"2011-09-16 10:00:40-07",1347,5,60,8,2,0
1316192460,"2011-09-16 10:01:00-07",1347,2,49,6,2,0
1316192480,"2011-09-16 10:01:20-07",1347,4,57,5,2,0
1316192500,"2011-09-16 10:01:40-07",1347,5,58,8,2,0
1316192520,"2011-09-16 10:02:00-07",1347,4,63,6,2,0
1316192540,"2011-09-16 10:02:20-07",1347,5,59,6,2,0
1316192560,"2011-09-16 10:02:40-07",1347,2,70,2,2,0
1316192580,"2011-09-16 10:03:00-07",1347,9,51,17,2,0
1316192600,"2011-09-16 10:03:20-07",1347,3,66,4,2,0
1316192620,"2011-09-16 10:03:40-07",1347,5,57,6,2,0
1316192640,"2011-09-16 10:04:00-07",1347,3,61,5,2,0
1316192660,"2011-09-16 10:04:20-07",1347,3,54,6,2,0
1316192680,"2011-09-16 10:04:40-07",1347,2,55,6,2,0
1316192700,"2011-09-16 10:05:00-07",1347,4,68,11,2,0
1316192720,"2011-09-16 10:05:20-07",1347,3,67,3,2,0
1316192740,"2011-09-16 10:05:40-07",1347,5,64,8,2,0
1316192760,"2011-09-16 10:06:00-07",1347,3,44,4,2,0
1316192780,"2011-09-16 10:06:20-07",1347,6,61,13,2,0
1316192800,"2011-09-16 10:06:40-07",1347,5,67,5,2,0
1316192820,"2011-09-16 10:07:00-07",1347,2,58,2,2,0
1316192840,"2011-09-16 10:07:20-07",1347,3,61,3,2,0
1316192860,"2011-09-16 10:07:40-07",1347,2,56,5,2,0
1316192880,"2011-09-16 10:08:00-07",1347,7,53,16,2,0
1316192900,"2011-09-16 10:08:20-07",1347,3,72,3,2,0
1316192920,"2011-09-16 10:08:40-07",1347,7,53,7,2,0
1316192940,"2011-09-16 10:09:00-07",1347,6,57,12,2,0
1316192960,"2011-09-16 10:09:20-07",1347,4,63,5,2,0
1316192980,"2011-09-16 10:09:40-07",1347,3,55,11,2,0
1316193000,"2011-09-16 10:10:00-07",1347,5,59,12,2,0
1316193020,"2011-09-16 10:10:20-07",1347,4,67,3,2,0
1316193040,"2011-09-16 10:10:40-07",1347,4,41,12,2,0
1316193060,"2011-09-16 10:11:00-07",1347,4,46,5,2,0
1316193080,"2011-09-16 10:11:20-07",1347,4,54,7,2,0
1316193100,"2011-09-16 10:11:40-07",1347,2,59,2,2,0
1316193120,"2011-09-16 10:12:00-07",1347,4,43,13,2,0
1316193140,"2011-09-16 10:12:20-07",1347,3,57,7,2,0
1316193160,"2011-09-16 10:12:40-07",1347,2,64,5,2,0
1316193180,"2011-09-16 10:13:00-07",1347,5,49,13,2,0
1316193200,"2011-09-16 10:13:20-07",1347,5,59,9,2,0
1316193220,"2011-09-16 10:13:40-07",1347,7,66,7,2,0
1316193240,"2011-09-16 10:14:00-07",1347,8,56,16,2,0
1316193260,"2011-09-16 10:14:20-07",1347,6,52,7,2,0
1316193280,"2011-09-16 10:14:40-07",1347,6,61,8,2,0
1316193300,"2011-09-16 10:15:00-07",1347,3,76,7,2,0
1316193320,"2011-09-16 10:15:20-07",1347,7,59,14,2,0
